"SampleID"	"Subtype"	"TrainTestFlag"
"GSM1167334"	"LumNS"	"Training"
"GSM1167335"	"LumP"	"Training"
"GSM1167336"	"Ba/Sq"	"Training"
"GSM1167339"	"LumP"	"Training"
"GSM1167342"	"Ba/Sq"	"Training"
"GSM1167344"	"LumU"	"Training"
"GSM1167346"	"Ba/Sq"	"Training"
"GSM1167347"	"Ba/Sq"	"Training"
"GSM1167350"	"LumU"	"Training"
"GSM1167354"	"LumP"	"Training"
"GSM1167360"	"Ba/Sq"	"Training"
"GSM1167361"	"Ba/Sq"	"Training"
"GSM1167363"	"Ba/Sq"	"Training"
"GSM1167372"	"Ba/Sq"	"Training"
"GSM1167373"	"Ba/Sq"	"Training"
"GSM1167375"	"Ba/Sq"	"Training"
"GSM1167376"	"LumNS"	"Training"
"GSM1167377"	"LumP"	"Training"
"GSM1167378"	"Ba/Sq"	"Training"
"GSM1167379"	"Ba/Sq"	"Training"
"GSM1167380"	"LumU"	"Training"
"GSM1167381"	"LumU"	"Training"
"GSM1167383"	"Ba/Sq"	"Training"
"GSM1167384"	"LumU"	"Training"
"GSM1167385"	"LumU"	"Training"
"GSM1167387"	"Ba/Sq"	"Training"
"GSM1167388"	"Ba/Sq"	"Training"
"GSM1167389"	"LumU"	"Training"
"GSM1167390"	"LumP"	"Training"
"GSM1167391"	"Ba/Sq"	"Training"
"GSM1167393"	"Stroma_rich"	"Training"
"GSM1167396"	"Ba/Sq"	"Training"
"GSM1167398"	"Ba/Sq"	"Training"
"GSM1167399"	"Stroma_rich"	"Training"
"GSM1167400"	"LumP"	"Training"
"GSM1167401"	"Stroma_rich"	"Training"
"GSM1167402"	"Ba/Sq"	"Training"
"GSM1167403"	"Stroma_rich"	"Training"
"GSM1167404"	"LumNS"	"Training"
"GSM1167406"	"Ba/Sq"	"Training"
"GSM1167410"	"Stroma_rich"	"Training"
"GSM1167414"	"LumNS"	"Training"
"GSM1167416"	"Ba/Sq"	"Training"
"GSM1167419"	"LumU"	"Training"
"GSM1167420"	"LumP"	"Training"
"GSM1167422"	"LumU"	"Training"
"GSM1167424"	"Ba/Sq"	"Training"
"GSM1167428"	"LumNS"	"Training"
"GSM1167429"	"LumP"	"Training"
"GSM1167433"	"Stroma_rich"	"Training"
"GSM1167434"	"Ba/Sq"	"Training"
"GSM1167435"	"LumP"	"Training"
"GSM1167436"	"LumNS"	"Training"
"GSM1167437"	"Stroma_rich"	"Training"
"GSM1167439"	"LumU"	"Training"
"GSM1167441"	"Ba/Sq"	"Training"
"GSM1167443"	"Ba/Sq"	"Training"
"GSM1167444"	"Ba/Sq"	"Training"
"GSM1167445"	"LumP"	"Training"
"GSM1167449"	"LumP"	"Training"
"GSM1167451"	"LumP"	"Training"
"GSM1167453"	"Ba/Sq"	"Training"
"GSM1167454"	"LumNS"	"Training"
"GSM1167455"	"LumP"	"Training"
"GSM1167457"	"LumP"	"Training"
